GanaJ1 (1/0)	minDistMetaJ1	minDistMetaJ2	turnosCampoJ1	turnosCampoJ2	turnos totales	evaluación (600*gana+40*minDistMetaJ1-40*minDistMetaJ2+2*porcentajeCampoJ2-5*turnosTotales si gana y +5*turnosTotales si pierde)	evaluación-2^(tM-2s)
0.0	0.0	6.0	24.0	10.0	34.0	-11.176470588235304	-11.176470588235304
0.0	0.0	6.0	24.0	10.0	34.0	-11.176470588235304	-11.176470588235304
0.0	0.0	6.0	24.0	10.0	34.0	-11.176470588235304	-11.176470588235304
0.0	0.0	6.0	24.0	10.0	34.0	-11.176470588235304	-11.176470588235304
0.0	0.0	6.0	24.0	10.0	34.0	-11.176470588235304	-11.176470588235304
0.0	0.0	6.0	24.0	10.0	34.0	-11.176470588235304	-11.176470588235304
0.0	0.0	6.0	24.0	10.0	34.0	-11.176470588235304	-11.176470588235304
0.0	0.0	6.0	24.0	10.0	34.0	-11.176470588235304	-11.176470588235304
0.0	0.0	6.0	24.0	10.0	34.0	-11.176470588235304	-11.176470588235304
0.0	0.0	6.0	24.0	10.0	34.0	-11.176470588235304	-11.176470588235304
