GanaJ1 (1/0)	minDistMetaJ1	minDistMetaJ2	turnosCampoJ1	turnosCampoJ2	turnos totales	evaluación (600*gana+40*minDistMetaJ1-40*minDistMetaJ2+2*porcentajeCampoJ2-5*turnosTotales si gana y +5*turnosTotales si pierde)	evaluación-2^(tM-2s)
0.0	0.0	7.0	24.0	4.0	28.0	-111.42857142857144	-111.42857142857144
0.0	0.0	6.0	24.0	10.0	34.0	-11.176470588235304	-11.176470588235304
0.0	0.0	8.0	19.0	3.0	22.0	-182.72727272727275	-187.1348931907792
0.0	0.0	8.0	22.0	2.0	24.0	-183.33333333333331	-183.33333333333331
0.0	0.0	8.0	24.0	2.0	26.0	-174.61538461538464	-174.61538461538464
0.0	0.0	7.0	20.0	6.0	26.0	-103.84615384615384	-107.35500804108513
0.0	0.0	8.0	20.0	2.0	22.0	-191.8181818181818	-193.9721545705679
0.0	0.0	8.0	20.0	2.0	22.0	-191.8181818181818	-193.73139813436555
0.0	0.0	8.0	27.0	1.0	28.0	-172.85714285714283	-173.86969766449332
0.0	0.0	8.0	19.0	3.0	22.0	-182.72727272727275	-186.80283751373963
0.0	0.0	8.0	19.0	3.0	22.0	-182.72727272727275	-187.42837804095183
0.0	0.0	8.0	30.0	2.0	32.0	-147.5	-147.5
0.0	0.0	8.0	19.0	1.0	20.0	-210.0	-213.434261745751
0.0	0.0	8.0	18.0	2.0	20.0	-200.0	-201.53049676982266
0.0	0.0	8.0	16.0	4.0	20.0	-180.0	-181.86218963966047
0.0	0.0	7.0	19.0	5.0	24.0	-118.33333333333331	-119.60524634007689
0.0	0.0	8.0	29.0	1.0	30.0	-163.33333333333331	-163.33333333333331
0.0	0.0	7.0	25.0	5.0	30.0	-96.66666666666669	-96.66666666666669
0.0	0.0	8.0	25.0	1.0	26.0	-182.30769230769232	-182.30769230769232
0.0	0.0	8.0	24.0	2.0	26.0	-174.61538461538464	-174.61538461538464
0.0	0.0	8.0	20.0	2.0	22.0	-191.8181818181818	-191.8181818181818
0.0	0.0	8.0	18.0	2.0	20.0	-200.0	-202.39827982758223
0.0	0.0	8.0	25.0	1.0	26.0	-182.30769230769232	-182.30769230769232
0.0	0.0	8.0	27.0	2.0	29.0	-161.20689655172413	-162.59200601983505


0.0	0.0	8.0	26.0	2.0	28.0	-165.71428571428572	-165.71428571428572
0.0	0.0	8.0	20.0	2.0	22.0	-191.8181818181818	-191.8181818181818
0.0	0.0	8.0	31.0	1.0	32.0	-153.75	-153.75
0.0	0.0	8.0	24.0	2.0	26.0	-174.61538461538464	-174.61538461538464
0.0	0.0	8.0	16.0	2.0	18.0	-207.77777777777777	-207.77777777777777
0.0	0.0	8.0	17.0	3.0	20.0	-190.0	-190.0
0.0	0.0	8.0	28.0	2.0	30.0	-156.66666666666669	-156.66666666666669
0.0	0.0	8.0	25.0	1.0	26.0	-182.30769230769232	-182.30769230769232


0.0	0.0	7.0	20.0	4.0	24.0	-126.66666666666669	-126.66666666666669
0.0	0.0	8.0	19.0	3.0	22.0	-182.72727272727275	-182.72727272727275
0.0	0.0	8.0	24.0	2.0	26.0	-174.61538461538464	-174.61538461538464
0.0	0.0	8.0	18.0	2.0	20.0	-200.0	-201.01889119661672
0.0	0.0	8.0	21.0	3.0	24.0	-175.0	-175.0
0.0	0.0	8.0	16.0	2.0	18.0	-207.77777777777777	-209.14856058275748
0.0	0.0	8.0	24.0	2.0	26.0	-174.61538461538464	-174.61538461538464
0.0	0.0	8.0	24.0	2.0	26.0	-174.61538461538464	-174.61538461538464


0.0	0.0	7.0	12.0	4.0	16.0	-150.0	-150.0
0.0	0.0	8.0	20.0	2.0	22.0	-191.8181818181818	-191.8181818181818
0.0	0.0	8.0	18.0	2.0	20.0	-200.0	-201.05336103595482
0.0	0.0	8.0	13.0	2.0	15.0	-218.33333333333331	-219.52419018269828
0.0	0.0	8.0	22.0	2.0	24.0	-183.33333333333331	-183.33333333333331
0.0	0.0	8.0	18.0	2.0	20.0	-200.0	-201.02313746973442
0.0	0.0	8.0	15.0	3.0	18.0	-196.66666666666669	-198.17713925222952
0.0	0.0	8.0	25.0	3.0	28.0	-158.57142857142856	-160.48729900787396


0.0	0.0	8.0	20.0	2.0	22.0	-191.8181818181818	-191.8181818181818
0.0	0.0	8.0	18.0	2.0	20.0	-200.0	-200.0
0.0	0.0	8.0	20.0	2.0	22.0	-191.8181818181818	-191.8181818181818
0.0	0.0	8.0	21.0	3.0	24.0	-175.0	-175.0
0.0	0.0	8.0	18.0	2.0	20.0	-200.0	-202.40994462998958
0.0	0.0	8.0	22.0	4.0	26.0	-159.23076923076923	-159.23076923076923
0.0	0.0	8.0	23.0	1.0	24.0	-191.66666666666669	-192.8884597683402
0.0	0.0	7.0	22.0	6.0	28.0	-97.14285714285714	-98.5126901228227


0.0	0.0	8.0	27.0	3.0	30.0	-150.0	-150.0
0.0	0.0	8.0	20.0	2.0	22.0	-191.8181818181818	-191.8181818181818
0.0	0.0	8.0	21.0	3.0	24.0	-175.0	-175.0
0.0	0.0	7.0	27.0	5.0	32.0	-88.75	-88.75
0.0	0.0	8.0	31.0	3.0	34.0	-132.3529411764706	-132.3529411764706
0.0	0.0	8.0	24.0	4.0	28.0	-151.42857142857144	-151.42857142857144
0.0	0.0	8.0	24.0	2.0	26.0	-174.61538461538464	-174.61538461538464
0.0	0.0	8.0	22.0	2.0	24.0	-183.33333333333331	-184.4498462953159


0.0	0.0	8.0	14.0	2.0	16.0	-215.0	-215.0
0.0	0.0	8.0	15.0	2.0	17.0	-211.47058823529414	-211.47058823529414
0.0	0.0	8.0	8.0	2.0	10.0	-230.0	-238.85197882473818
0.0	0.0	7.0	14.0	4.0	18.0	-145.55555555555554	-145.55555555555554
0.0	0.0	8.0	14.0	2.0	16.0	-215.0	-215.0
